day,city,S,E,I,R
0,Live Oak,15875.00,0.00,0.00,0.00
0,Palmview,15650.00,0.00,0.00,0.00
0,Buda,15487.00,0.00,0.00,0.00
0,Aldine,15434.00,0.00,0.00,0.00
0,Canyon,15398.00,0.00,0.00,0.00
0,Uvalde,15344.00,0.00,0.00,0.00
0,Rio Grande City,15258.00,0.00,0.00,0.00
0,Mineral Wells,15130.00,0.00,0.00,0.00
0,West University Place,14907.00,0.00,0.00,0.00
0,Hereford,14874.00,0.00,0.00,0.00
0,Lockhart,14708.00,0.00,0.00,0.00
0,Dumas,14362.00,0.00,0.00,0.00
0,Hidalgo,14250.00,0.00,0.00,0.00
0,Jacksonville,14186.00,0.00,0.00,0.00
0,Wells Branch,14156.00,0.00,0.00,0.00
0,Forest Hill,13923.00,0.00,0.00,0.00
0,Lumberton,13803.00,0.00,0.00,0.00
0,Azle,13734.00,0.00,0.00,0.00
0,Port Neches,13627.00,0.00,0.00,0.00
0,Seabrook,13617.00,0.00,0.00,0.00
0,Beeville,13518.00,0.00,0.00,0.00
0,Trophy Club,13454.00,0.00,0.00,0.00
0,Kilgore,13444.00,0.00,0.00,0.00
0,Andrews,13416.00,0.00,0.00,0.00
0,Henderson,13348.00,0.00,0.00,0.00
0,Tomball,13032.00,0.00,0.00,0.00
0,Athens,13013.00,0.00,0.00,0.00
0,Manvel,12873.00,0.00,0.00,0.00
0,Santa Fe,12828.00,0.00,0.00,0.00
0,Robinson,12668.00,0.00,0.00,0.00
0,Lantana,12583.00,0.00,0.00,0.00
0,Levelland,12565.00,0.00,0.00,0.00
0,Borger,12398.00,0.00,0.00,0.00
0,Webster,12283.00,0.00,0.00,0.00
0,El Campo,12220.00,0.00,0.00,0.00
0,Richmond,12117.00,0.00,0.00,0.00
0,Hornsby Bend,12021.00,0.00,0.00,0.00
0,Fort Bliss,12009.00,0.00,0.00,0.00
0,Granbury,11665.00,0.00,0.00,0.00
0,Roma,11543.00,0.00,0.00,0.00
0,Four Corners,11490.00,0.00,0.00,0.00
0,Leon Valley,11479.00,0.00,0.00,0.00
0,Port Lavaca,11410.00,0.00,0.00,0.00
0,La Homa,11389.00,0.00,0.00,0.00
