day,S,E,I,R,I_rep,new_rep
274,29744280.71856917,56290.428754827444,164042.1542787159,1885535.698397284,16404.21542787159,1640.421542787159
275,29735574.96771284,54373.81767246082,158537.0837560307,1901663.1308586714,15853.708375603072,1585.3708375603073
276,29727144.401464544,52541.79592616862,153213.62841141014,1917249.1741978808,15321.362841141015,1532.1362841141017
277,29718980.954720147,50786.85938827625,148069.34905378908,1932311.836837786,14806.934905378908,1480.693490537891
278,29711076.58487399,49102.90697223293,143100.61777269837,1946868.8903810815,14310.061777269839,1431.0061777269839
279,29703423.372256104,47484.73415761886,138303.21282815427,1960937.680758124,13830.321282815428,1383.032128281543
280,29696013.549248166,45927.88327235633,133672.47513126145,1974535.0923482194,13367.247513126145,1336.7247513126147
281,29688839.51093161,44428.59693004576,129203.33325199428,1987677.5588863473,12920.333325199428,1292.0333325199429
282,29681893.920768343,42983.47929436297,124890.6204329531,2000380.9795043406,12489.062043295311,1248.9062043295312
283,29675169.634993322,41589.55237057512,120729.08549126488,2012660.7271448392,12072.908549126489,1207.290854912649
284,29668659.58633476,40244.310311607274,116713.44366778398,2024531.6596858478,11671.3443667784,1167.13443667784
285,29662355.51056458,38946.891721794804,112838.49226405272,2036008.1054495755,11283.849226405273,1128.3849226405273
286,29654623.856165856,39174.369209284676,109241.9990247839,2047108.7756000804,10924.19990247839,1092.4199902478392
287,29647121.55815728,39153.75052100827,106005.21219165395,2057868.4791300604,10600.521219165395,1060.0521219165396
288,29639827.875327207,38947.172896034506,103054.61695531657,2068319.3348214424,10305.461695531658,1030.5461695531658
289,29632726.03087008,38602.37950306344,100333.55401550347,2078487.0356113478,10033.355401550347,1003.3355401550348
290,29625802.492104374,38155.747307355465,97798.52163580565,2088392.2389524642,9779.852163580565,977.9852163580565
291,29619046.200563893,37635.11613878829,95415.87736087415,2098051.8059364436,9541.587736087415,954.1587736087415
292,29612448.03056831,37061.694330608836,93159.65179296702,2107479.6233081142,9315.965179296703,931.5965179296704
293,29606000.368463926,36451.59354300449,91009.76406006994,2116687.273933004,9100.976406006994,910.0976406006994
294,29599696.724509537,35817.138819589425,88950.54330537874,2125684.5933654946,8895.054330537874,889.5054330537874
295,29593531.560509123,35167.581750164325,86969.85993435314,2134479.997806359,8696.985993435314,869.6985993435314
296,29587500.151534777,34509.87368064899,85058.1166571387,2143080.8581274305,8505.81166571387,850.5811665713871
297,29581598.282552324,33849.25431327197,83207.79460532672,2151493.6685290746,8320.779460532673,832.0779460532673
298,29575822.173286375,33189.66201345891,81412.906066483,2159724.2586336834,8141.290606648301,814.1290606648301
299,29570168.384726416,32534.061075249094,79668.62110245207,2167777.933095883,7966.862110245208,796.6862110245208
300,29564633.705019657,31884.65093312305,77971.10429852582,2175659.539748697,7797.1104298525825,779.7110429852582
