day,S,E,I,R,I_rep,new_rep
25,31844623.742858477,1184.335657262558,1622.6725731491792,2718.2489111059217,162.26725731491794,16.226725731491793
26,31844340.023371093,1235.766872604549,1689.3846531771828,2883.825103123889,168.93846531771828,16.89384653177183
27,31844043.505817115,1289.8672965657602,1759.391247618509,3056.2356386957354,175.9391247618509,17.593912476185093
28,31843733.502602067,1346.7974337433677,1832.8805704235817,3235.8193937621004,183.2880570423582,18.32880570423582
29,31843409.28407416,1406.7270152517535,1910.0543148867896,3422.9345956937514,191.00543148867897,19.100543148867896
30,31843070.075641595,1469.8373055433985,1991.1269123845464,3617.9601404713526,199.11269123845466,19.911269123845468
31,31842715.05365256,1536.3238204703139,2076.325100888814,3821.2974260806823,207.63251008888142,20.763251008888144
32,31842343.34356157,1606.3922080755979,2165.893287305721,4033.3709430428144,216.5893287305721,21.65893287305721
33,31841954.015659463,1680.2631513407032,2260.0909201567597,4254.630269037136,226.00909201567598,22.6009092015676
34,31841546.07983104,1758.175967908294,2359.191819582924,4485.552381459735,235.9191819582924,23.59191819582924
35,31841118.483558908,1840.3820014425237,2463.492229038064,4726.642210608027,246.34922290380644,24.634922290380644
36,31840670.10740088,1927.149193072779,2573.3086986617222,4978.434707382319,257.33086986617224,25.733086986617224
37,31840199.75708133,2018.7713876820474,2688.973067422535,5241.498463563719,268.89730674225353,26.889730674225355
38,31839706.1606249,2115.558642541969,2810.844251890436,5516.436480668247,281.08442518904366,28.10844251890437
39,31839187.96524197,2217.8376363091907,2939.309648863217,5803.887472854032,293.9309648863217,29.39309648863217
40,31838643.725707226,2325.9676205832566,3074.7754250642333,6104.53124712119,307.47754250642333,30.747754250642334
41,31838071.899612837,2440.3332802837617,3217.6768035397176,6419.0903033360955,321.7676803539718,32.17676803539718
42,31837470.844251107,2561.3381604222604,3368.4867390844233,6748.330849376458,336.8486739084424,33.68486739084424
43,31836838.80549863,2689.419108435679,3527.7075207958665,7093.067872133933,352.77075207958666,35.27707520795867
44,31836173.906892315,2825.0539476131553,3695.8693766875695,7454.169783379414,369.58693766875695,36.9586937668757
45,31835474.145079717,2968.7460172503424,3873.54927111213,7832.55963191561,387.35492711121304,38.73549271112131
46,31834737.382826224,3121.0297114876257,4061.369331132931,8229.21813115146,406.13693311329314,40.613693311329314
47,31833961.32948193,3282.4956933761846,4259.982431258563,8645.192393432078,425.99824312585633,42.59982431258564
48,31833143.534094483,3453.7740223857018,4470.093927822536,9081.597955308678,447.0093927822536,44.70093927822536
49,31832281.379371863,3635.528595180956,4692.471050538408,9539.620982416292,469.24710505384087,46.92471050538409
50,31831372.06050495,3828.4847475694737,4927.927068836946,10020.527678644605,492.7927068836946,49.279270688369465
51,31830412.569469444,4033.4321806235694,5177.327869899298,10525.670480030287,517.7327869899299,51.77327869899299
52,31829399.686616033,4251.2044877610915,5441.618296531611,11056.490599673782,544.1618296531611,54.41618296531612
53,31828329.964830514,4482.695135681892,5721.8151940183425,11614.524839782749,572.1815194018343,57.21815194018343
54,31827199.69997635,4728.891218689934,6018.99051571041,12201.418289245996,601.899051571041,60.18990515710411
55,31826004.917906247,4990.843690983142,6334.310160573554,12818.928242192265,633.4310160573555,63.34310160573555
56,31824741.362951204,5269.66676475416,6669.041598494146,13468.928685544246,666.9041598494146,66.69041598494145
57,31823404.458695143,5566.587435784991,7024.526634543296,14153.427234525083,702.4526634543296,70.24526634543297
58,31821989.28546857,5882.932792411474,7402.2084858725475,14874.57325314465,740.2208485872547,74.02208485872548
59,31820490.565125883,6220.1078901691435,7803.66397806934,15634.663005879751,780.3663978069341,78.0366397806934
60,31818902.625211746,6579.636878042316,8230.583020194532,16436.154890013127,823.0583020194532,82.30583020194533
61,31817219.356717654,6963.194408762316,8684.76228694334,17281.686586634285,868.476228694334,86.84762286943341
62,31815434.19003079,7372.561786970788,9168.16533645735,18174.082845779914,916.816533645735,91.6816533645735
63,31813540.068628974,7809.644677212967,9682.920479311166,19116.36621449416,968.2920479311166,96.82920479311167
64,31811529.38232978,8276.549724576387,10231.282956273024,20111.784989366628,1023.1282956273025,102.31282956273026
65,31809393.932867352,8775.538480862626,10815.703782394536,21163.824869391734,1081.5703782394537,108.15703782394537
66,31807124.906429496,9309.016975529921,11438.857334296748,22276.21926067371,1143.885733429675,114.3885733429675
67,31804712.797518548,9879.625950669328,12103.595368541815,23452.981162239346,1210.3595368541817,121.03595368541818
68,31802147.350916095,10490.237135303832,12812.986790413897,24698.42515818652,1281.2986790413897,128.129867904139
69,31799417.522073403,11143.906401335873,13570.390091041276,26017.181434215927,1357.0390091041277,135.70390091041278
70,31796511.406970095,11843.946309175486,14379.421867847877,27414.224852878284,1437.9421867847877,143.79421867847879
