day,city,S,E,I,R,I_rep,new_rep
0,Pearland,125983.00,0.00,0.00,0.00,0.00,0.00
0,Round Rock,124288.00,0.00,0.00,0.00,0.00,0.00
0,Temple,123932.00,0.00,0.00,0.00,0.00,0.00
0,Richardson,118269.00,0.00,0.00,0.00,0.00,0.00
0,The Woodlands,116916.00,0.00,0.00,0.00,0.00,0.00
0,Harlingen,115767.00,0.00,0.00,0.00,0.00,0.00
0,League City,114885.00,0.00,0.00,0.00,0.00,0.00
0,Port Arthur,114860.00,0.00,0.00,0.00,0.00,0.00
0,Longview,112687.00,0.00,0.00,0.00,0.00,0.00
0,Sugar Land,109735.00,0.00,0.00,0.00,0.00,0.00
0,Allen,107684.00,0.00,0.00,0.00,0.00,0.00
0,Edinburg,102561.00,0.00,0.00,0.00,0.00,0.00
0,Wichita Falls,102558.00,0.00,0.00,0.00,0.00,0.00
0,San Angelo,99507.00,0.00,0.00,0.00,0.00,0.00
0,New Braunfels,98700.00,0.00,0.00,0.00,0.00,0.00
0,Conroe,96976.00,0.00,0.00,0.00,0.00,0.00
0,Atascocita,93926.00,0.00,0.00,0.00,0.00,0.00
0,Mission,86234.00,0.00,0.00,0.00,0.00,0.00
0,Bryan,86169.00,0.00,0.00,0.00,0.00,0.00
0,Baytown,84538.00,0.00,0.00,0.00,0.00,0.00
0,Pharr,79809.00,0.00,0.00,0.00,0.00,0.00
0,Georgetown,78803.00,0.00,0.00,0.00,0.00,0.00
0,Texarkana,78541.00,0.00,0.00,0.00,0.00,0.00
0,Flower Mound,77886.00,0.00,0.00,0.00,0.00,0.00
0,Cedar Park,77474.00,0.00,0.00,0.00,0.00,0.00
0,Mansfield,75398.00,0.00,0.00,0.00,0.00,0.00
0,Missouri City,75234.00,0.00,0.00,0.00,0.00,0.00
0,San Marcos,74469.00,0.00,0.00,0.00,0.00,0.00
0,Sherman,73984.00,0.00,0.00,0.00,0.00,0.00
0,North Richland Hills,70338.00,0.00,0.00,0.00,0.00,0.00
0,Leander,67880.00,0.00,0.00,0.00,0.00,0.00
0,Spring,67103.00,0.00,0.00,0.00,0.00,0.00
0,Victoria,66523.00,0.00,0.00,0.00,0.00,0.00
0,Pflugerville,65162.00,0.00,0.00,0.00,0.00,0.00
0,Rowlett,64139.00,0.00,0.00,0.00,0.00,0.00
0,Euless,60373.00,0.00,0.00,0.00,0.00,0.00
0,Wylie,58991.00,0.00,0.00,0.00,0.00,0.00
0,DeSoto,55896.00,0.00,0.00,0.00,0.00,0.00
0,Texas City,54159.00,0.00,0.00,0.00,0.00,0.00
0,Kyle,52439.00,0.00,0.00,0.00,0.00,0.00
0,Little Elm,51426.00,0.00,0.00,0.00,0.00,0.00
0,Burleson,50981.00,0.00,0.00,0.00,0.00,0.00
0,Grapevine,50875.00,0.00,0.00,0.00,0.00,0.00
0,Rockwall,49605.00,0.00,0.00,0.00,0.00,0.00
0,Bedford,49191.00,0.00,0.00,0.00,0.00,0.00
0,Cedar Hill,48547.00,0.00,0.00,0.00,0.00,0.00
0,Huntsville,46917.00,0.00,0.00,0.00,0.00,0.00
0,Haltom City,45681.00,0.00,0.00,0.00,0.00,0.00
0,Keller,45598.00,0.00,0.00,0.00,0.00,0.00
0,The Colony,44916.00,0.00,0.00,0.00,0.00,0.00
0,Waxahachie,43591.00,0.00,0.00,0.00,0.00,0.00
0,Channelview,43536.00,0.00,0.00,0.00,0.00,0.00
